Start,Diver,Gender,Discipline,Line,Official Top,AP,RP,Card,Points,Remarks,Title Event,Event Type,Day,Category Event,Month,Season,Experience dive,Experience discipline,Remarks_norm
1,Tasos Grillakis (GRC),M,FIM,,00:00,33,23 m,YELLOW,12.0,-,Depth Event 2016,Depth Competition,2016-07-17,other,7,Summer,1,1,
2,Antonis Papantonatos (GRC),M,FIM,,00:00,55,47 m,YELLOW,38.0,-,Depth Event 2016,Depth Competition,2016-07-17,other,7,Summer,1,1,
3,Dimitris Koumoulos (GRC),M,CNF,,00:00,55,55 m,WHITE,55.0,-,Depth Event 2016,Depth Competition,2016-07-17,other,7,Summer,1,1,
4,Christos Papadopoulos (GRC),M,CWT,,00:00,55,55 m,WHITE,55.0,OK,Depth Event 2016,Depth Competition,2016-07-17,other,7,Summer,1,1,
5,Anna Chalari (GRC),F,CWT,,00:00,15,15 m,WHITE,15.0,OK,Depth Event 2016,Depth Competition,2016-07-17,other,7,Summer,1,1,
6,Alkisti Vouraki (GRC),F,CWT,,00:00,16,16 m,WHITE,16.0,OK,Depth Event 2016,Depth Competition,2016-07-17,other,7,Summer,1,1,
7,Stavroula Kontorousi (GRC),F,CWT,,00:00,20,20 m,WHITE,20.0,OK,Depth Event 2016,Depth Competition,2016-07-17,other,7,Summer,1,1,
8,Yuliya Ilkevich (BLR),F,CWT,,00:00,40,31 m,YELLOW,21.0,"SHORT, TAG",Depth Event 2016,Depth Competition,2016-07-17,other,7,Summer,1,1,
9,Dimitris Tsigkounis (GRC),M,CWT,,00:00,40,26 m,YELLOW,11.0,"SHORT, TAG",Depth Event 2016,Depth Competition,2016-07-17,other,7,Summer,1,1,
10,Emmanouil Marneros (GRC),M,CWT,,00:00,47,47 m,WHITE,47.0,OK,Depth Event 2016,Depth Competition,2016-07-17,other,7,Summer,1,1,
11,Antonios Marneros (GRC),M,CWT,,00:00,32,32 m,WHITE,32.0,OK,Depth Event 2016,Depth Competition,2016-07-17,other,7,Summer,1,1,
12,Yanis Volakakis (GRC),M,CWT,,00:00,55,55 m,WHITE,55.0,OK,Depth Event 2016,Depth Competition,2016-07-17,other,7,Summer,1,1,
13,Tony Helm (GRC),M,CWT,,00:00,55,55 m,WHITE,55.0,OK,Depth Event 2016,Depth Competition,2016-07-17,other,7,Summer,1,1,
14,Nikos Magounis (GRC),M,CWT,,00:00,25,25 m,WHITE,25.0,OK,Depth Event 2016,Depth Competition,2016-07-17,other,7,Summer,1,1,
1,Reiko Asakura (JPN),F,FIM,,00:00,54,54 m,WHITE,54.0,-,Okinawa Freediving Cup 2016,Depth Competition,2016-07-23,other,7,Summer,1,1,
2,Mitsuhiro Kojima (JPN),M,FIM,,00:00,55,55 m,WHITE,55.0,-,Okinawa Freediving Cup 2016,Depth Competition,2016-07-23,other,7,Summer,1,1,
3,Sawako Maruyama (JPN),F,FIM,,00:00,58,35 m,WHITE,35.0,-,Okinawa Freediving Cup 2016,Depth Competition,2016-07-23,other,7,Summer,1,1,
4,Shuichi Goto (JPN),M,FIM,,00:00,58,45 m,YELLOW,32.0,-,Okinawa Freediving Cup 2016,Depth Competition,2016-07-23,other,7,Summer,1,1,
5,Tetsuo Hara (JPN),M,FIM,,00:00,70,70 m,WHITE,70.0,-,Okinawa Freediving Cup 2016,Depth Competition,2016-07-23,other,7,Summer,1,1,
6,Naoto Yoshikawa (JPN),M,CWT,,00:00,48,48 m,RED,0.0,-,Okinawa Freediving Cup 2016,Depth Competition,2016-07-23,other,7,Summer,1,1,
7,Atsushi Kawai (JPN),M,CWT,,00:00,57,57 m,RED,0.0,-,Okinawa Freediving Cup 2016,Depth Competition,2016-07-23,other,7,Summer,1,1,
8,Naoko Yamada (JPN),F,CWT,,00:00,19,19 m,WHITE,19.0,-,Okinawa Freediving Cup 2016,Depth Competition,2016-07-23,other,7,Summer,1,1,
9,Tomoko Kayama (JPN),F,CWT,,00:00,32,32 m,WHITE,32.0,-,Okinawa Freediving Cup 2016,Depth Competition,2016-07-23,other,7,Summer,1,1,
10,Yuki Muto (JPN),F,CWT,,00:00,58,58 m,WHITE,58.0,-,Okinawa Freediving Cup 2016,Depth Competition,2016-07-23,other,7,Summer,1,1,
11,Tadahiro Kobayashi (JPN),M,CWT,,00:00,65,46 m,YELLOW,27.0,-,Okinawa Freediving Cup 2016,Depth Competition,2016-07-23,other,7,Summer,1,1,
1,Tadahiro Kobayashi (JPN),M,CWT,,00:00,65,57 m,YELLOW,49.0,-,Okinawa Freediving Cup 2016,Depth Competition,2016-07-24,other,7,Summer,2,2,
2,Yuki Muto (JPN),F,CWT,,00:00,61,61 m,WHITE,61.0,-,Okinawa Freediving Cup 2016,Depth Competition,2016-07-24,other,7,Summer,2,2,
3,Sawako Maruyama (JPN),F,CWT,,00:00,35,35 m,WHITE,61.0,-,Okinawa Freediving Cup 2016,Depth Competition,2016-07-24,other,7,Summer,2,1,
4,Tomoko Kayama (JPN),F,CWT,,00:00,34,34 m,WHITE,34.0,-,Okinawa Freediving Cup 2016,Depth Competition,2016-07-24,other,7,Summer,2,2,
5,Naoko Yamada (JPN),F,CWT,,00:00,25,22 m,YELLOW,19.0,-,Okinawa Freediving Cup 2016,Depth Competition,2016-07-24,other,7,Summer,2,2,
6,Shuichi Goto (JPN),M,CNF,,00:00,43,43 m,RED,0.0,-,Okinawa Freediving Cup 2016,Depth Competition,2016-07-24,other,7,Summer,2,1,
7,Naoto Yoshikawa (JPN),M,FIM,,00:00,56,48 m,YELLOW,40.0,-,Okinawa Freediving Cup 2016,Depth Competition,2016-07-24,other,7,Summer,2,1,
8,Tetsuo Hara (JPN),M,FIM,,00:00,75,75 m,WHITE,75.0,-,Okinawa Freediving Cup 2016,Depth Competition,2016-07-24,other,7,Summer,2,2,
1,Gal Shtokhamer (ISR),F,CWT,,00:00,43,43 m,WHITE,43.0,0,Free 2 be,Depth Competition,2016-09-23,other,9,Fall,1,1,
2,Vered Dekel (ISR),F,CWT,,00:00,47,47 m,WHITE,47.0,-,Free 2 be,Depth Competition,2016-09-23,other,9,Fall,1,1,
3,Aran Gilead (ISR),M,CWT,,00:00,72,72 m,WHITE,72.0,-,Free 2 be,Depth Competition,2016-09-23,other,9,Fall,1,1,
4,Shlomi Goldstein (ISR),M,CWT,,00:00,55,55 m,WHITE,55.0,-,Free 2 be,Depth Competition,2016-09-23,other,9,Fall,1,1,
5,Ariel Kedmi (ISR),M,CWT,,00:00,55,55 m,WHITE,55.0,-,Free 2 be,Depth Competition,2016-09-23,other,9,Fall,1,1,
