Start,Diver,Gender,Discipline,Line,Official Top,AP,RP,Card,Points,Remarks,Title Event,Event Type,Day
1,Renee Blundon (USA),F,FIM,,00:00,68 m,68 m,WHITE,68.0,-,Red C cup (10th edition),Mixed Competition,2018-05-30
2,Inge Verbruggen (BEL),F,FIM,,00:00,48 m,48 m,WHITE,48.0,National record,Red C cup (10th edition),Mixed Competition,2018-05-30
3,Christie Catherine (AUS),F,FIM,,00:00,45 m,45 m,WHITE,45.0,-,Red C cup (10th edition),Mixed Competition,2018-05-30
4,Cristian Castaño Villa (COL),M,FIM,,00:00,78 m,78 m,WHITE,78.0,National record,Red C cup (10th edition),Mixed Competition,2018-05-30
5,Pete Botman (NLD),M,FIM,,00:00,78 m,73 m,YELLOW,67.0,-,Red C cup (10th edition),Mixed Competition,2018-05-30
6,Antons Krauklis (LVA),M,FIM,,00:00,65 m,65 m,RED,0.0,DQBO,Red C cup (10th edition),Mixed Competition,2018-05-30
7,Irina Kapusta (RUS),F,CWT,,00:00,71 m,71 m,WHITE,71.0,-,Red C cup (10th edition),Mixed Competition,2018-05-30
8,Olga Rodnova (RUS),F,CWT,,00:00,67 m,67 m,WHITE,67.0,-,Red C cup (10th edition),Mixed Competition,2018-05-30
9,Nancy Gibson (GBR),F,CWT,,00:00,61 m,61 m,WHITE,61.0,-,Red C cup (10th edition),Mixed Competition,2018-05-30
10,Julia Tobler (CHE),F,CWT,,00:00,58 m,43 m,YELLOW,27.0,-,Red C cup (10th edition),Mixed Competition,2018-05-30
11,Ilja Ozolins (LVA),M,CWT,,00:00,42 m,42 m,WHITE,42.0,National record,Red C cup (10th edition),Mixed Competition,2018-05-30
12,Yeongmo Kim (KOR),M,CWT,,00:00,50 m,50 m,WHITE,50.0,-,Red C cup (10th edition),Mixed Competition,2018-05-30
13,Sophia Van Coller (ZAF),F,CNF,,00:00,36 m,36 m,WHITE,36.0,-,Red C cup (10th edition),Mixed Competition,2018-05-30
14,Claire Walsh (IRL),F,CNF,,00:00,28 m,28 m,RED,0.0,DQBO (surface),Red C cup (10th edition),Mixed Competition,2018-05-30
15,Andriy Khvetkevych (USA),M,CNF,,00:00,56 m,56 m,WHITE,56.0,-,Red C cup (10th edition),Mixed Competition,2018-05-30
16,Hyunho Seong (KOR),M,CNF,,00:00,61 m,56 m,YELLOW,50.0,-,Red C cup (10th edition),Mixed Competition,2018-05-30
17,Ahmed Wahba (EGY),M,CNF,,00:00,46 m,46 m,WHITE,46.0,National record,Red C cup (10th edition),Mixed Competition,2018-05-30
1,Renee Blundon (USA),F,FIM,,00:00,70 m,70 m,WHITE,70.0,-,Red C cup (10th edition),Mixed Competition,2018-05-31
2,Christie Catherine (AUS),F,FIM,,00:00,48 m,48 m,WHITE,48.0,-,Red C cup (10th edition),Mixed Competition,2018-05-31
3,Inge Verbruggen (BEL),F,FIM,,00:00,50 m,42 m,YELLOW,33.0,-,Red C cup (10th edition),Mixed Competition,2018-05-31
4,Cristian Castaño Villa (COL),M,FIM,,00:00,80 m,80 m,WHITE,80.0,National record,Red C cup (10th edition),Mixed Competition,2018-05-31
5,Pete Botman (NLD),M,FIM,,00:00,75 m,75 m,WHITE,75.0,National record,Red C cup (10th edition),Mixed Competition,2018-05-31
6,Adrien Le Flem (FRA),M,FIM,,00:00,70 m,70 m,WHITE,70.0,-,Red C cup (10th edition),Mixed Competition,2018-05-31
7,Leonid Kleshnin (RUS),M,FIM,,00:00,63 m,63 m,WHITE,63.0,-,Red C cup (10th edition),Mixed Competition,2018-05-31
8,Ahmed Wahba (EGY),M,FIM,,00:00,50 m,50 m,WHITE,50.0,-,Red C cup (10th edition),Mixed Competition,2018-05-31
9,Olga Rodnova (RUS),F,CWT,,00:00,71 m,71 m,WHITE,71.0,-,Red C cup (10th edition),Mixed Competition,2018-05-31
10,Julia Tobler (CHE),F,CWT,,00:00,57 m,57 m,WHITE,57.0,National record,Red C cup (10th edition),Mixed Competition,2018-05-31
11,Hyunho Seong (KOR),M,CNF,,00:00,61 m,61 m,WHITE,61.0,National record,Red C cup (10th edition),Mixed Competition,2018-05-31
12,Andriy Khvetkevych (USA),M,CNF,,00:00,61 m,61 m,WHITE,61.0,National record,Red C cup (10th edition),Mixed Competition,2018-05-31
13,Mathieu Maraio (FRA),M,CNF,,00:00,60 m,60 m,WHITE,60.0,-,Red C cup (10th edition),Mixed Competition,2018-05-31
14,Ilja Ozolins (LVA),M,CNF,,00:00,30 m,30 m,RED,0.0,DQBO,Red C cup (10th edition),Mixed Competition,2018-05-31
