diver,first_compet,last_compet,nb_compet,nb_bo,nb_bo_cwt,nb_bo_cwtb,nb_bo_cnf,nb_bo_fim,nb_red,nb_dives,%_bo,%_bo_cwt,%_bo_cwtb,%_bo_cnf,%_bo_fim
Abdelatif Alouach ,2019-09-09,2023-07-20,10,1,0,1,0,0,2,25,4.0,0.0,4.0,0.0,0.0
Abdullah Al Omran ,2017-08-08,2022-08-09,6,1,0,0,0,1,4,16,6.25,0.0,0.0,0.0,6.25
Aki Shimoyama ,2016-10-10,2023-01-14,11,0,0,0,0,0,1,15,0.0,0.0,0.0,0.0,0.0
Alejandra Lopez ,2015-04-27,2022-09-25,14,3,1,0,1,1,6,40,7.5,2.5,0.0,2.5,2.5
Alejandro Lemus ,2016-05-26,2023-04-30,32,9,3,1,2,3,15,116,7.758620689655173,2.586206896551724,0.8620689655172413,1.7241379310344827,2.586206896551724
Alena Konecna ,2015-08-28,2022-09-17,10,1,0,1,0,0,2,28,3.5714285714285716,0.0,3.5714285714285716,0.0,0.0
Alenka Artnik ,2015-08-27,2023-06-16,13,2,1,1,0,0,2,30,6.666666666666667,3.3333333333333335,3.3333333333333335,0.0,0.0
Alessia Zecchini ,2014-09-19,2023-03-31,12,3,2,0,0,1,8,38,7.894736842105263,5.2631578947368425,0.0,0.0,2.6315789473684212
Alexandros Koukos ,2016-10-08,2022-09-30,10,1,0,0,0,1,2,18,5.555555555555555,0.0,0.0,0.0,5.555555555555555
Alexandros Polemitis ,2018-10-14,2022-10-23,11,0,0,0,0,0,2,17,0.0,0.0,0.0,0.0,0.0
Alexandru Russu ,2014-09-19,2021-09-17,7,0,0,0,0,0,0,9,0.0,0.0,0.0,0.0,0.0
Alexey Molchanov ,2016-10-24,2023-05-26,46,11,2,0,8,1,15,123,8.94308943089431,1.6260162601626016,0.0,6.504065040650406,0.8130081300813008
Alfredo Roen Martin ,2016-09-05,2022-08-10,10,0,0,0,0,0,1,33,0.0,0.0,0.0,0.0,0.0
Ali Maihob ,2018-07-27,2022-09-18,6,0,0,0,0,0,1,13,0.0,0.0,0.0,0.0,0.0
Alice Modolo ,2017-07-20,2022-08-05,17,1,0,1,0,0,1,31,3.225806451612903,0.0,3.225806451612903,0.0,0.0
Alon Rivkind ,2006-06-04,2022-09-22,10,0,0,0,0,0,0,23,0.0,0.0,0.0,0.0,0.0
Amber Bourke ,2016-10-24,2022-08-23,10,1,0,0,1,0,2,32,3.125,0.0,0.0,3.125,0.0
Amelia De Los Rios ,2013-08-02,2023-07-10,7,0,0,0,0,0,3,18,0.0,0.0,0.0,0.0,0.0
Amerigo Morán ,2017-08-19,2022-09-25,8,0,0,0,0,0,1,30,0.0,0.0,0.0,0.0,0.0
Ana Petkovic ,2020-09-09,2022-07-11,7,0,0,0,0,0,0,15,0.0,0.0,0.0,0.0,0.0
Andre Grce ,2020-09-09,2023-07-02,8,0,0,0,0,0,1,26,0.0,0.0,0.0,0.0,0.0
Andrey Matveenko ,2017-05-30,2021-09-12,12,1,0,0,1,0,3,23,4.3478260869565215,0.0,0.0,4.3478260869565215,0.0
Anna Iliadou ,2018-09-16,2022-09-21,6,0,0,0,0,0,2,16,0.0,0.0,0.0,0.0,0.0
Anna-Karina Schmitt ,2019-08-24,2022-08-20,7,0,0,0,0,0,1,12,0.0,0.0,0.0,0.0,0.0
Anqi Lim ,2017-10-24,2022-06-25,12,0,0,0,0,0,0,34,0.0,0.0,0.0,0.0,0.0
Anthony Wagner ,2019-08-24,2022-08-20,7,0,0,0,0,0,1,16,0.0,0.0,0.0,0.0,0.0
Ariel Kedmi ,2016-09-23,2022-06-18,7,0,0,0,0,0,3,20,0.0,0.0,0.0,0.0,0.0
